seed,intensity,kind,N,n_min,valid,abstention_reason,mean_L,std_L,cv_L,iqr_L,range_L,mean_V,std_V,cv_V,iqr_V,range_V,flags
4200001,4800.0,MINK,4781,56,True,,94.89285714285714,2.832708014229061,0.029851646367487283,3.0,12.0,3113.0714285714284,368.2637281478964,0.11829594553083886,628.25,1204.0,NEAR_DELTA_MINK_L
4200002,4800.0,MINK,4858,65,True,,92.24615384615385,2.0757261508335914,0.02250203465713533,3.0,7.0,3244.1846153846154,379.36144292573834,0.11693583685919891,648.0,1310.0,NEAR_DELTA_MINK_L
4200003,4800.0,MINK,4848,72,True,,94.59722222222223,2.841457578926616,0.030037431461270934,4.25,13.0,3149.597222222222,378.10913546966475,0.120049996489039,620.25,1267.0,NEAR_DELTA_MINK_L
4200004,4800.0,MINK,4778,66,True,,94.75757575757575,2.6802340810289826,0.028285169387258214,2.0,11.0,3197.090909090909,344.0025866390034,0.10759862525674016,537.25,1190.0,NEAR_DELTA_MINK_L
4200005,4800.0,MINK,4710,64,True,,90.015625,1.690896466190346,0.018784477319247032,1.25,8.0,3109.5,363.6303927066603,0.1169417567797589,624.25,1167.0,NEAR_DELTA_MINK_L
4200006,4800.0,MINK,4843,60,True,,94.5,2.0696215435033847,0.02190075707410989,3.0,8.0,3133.133333333333,356.4459036406818,0.11376659264655675,526.75,1271.0,NEAR_DELTA_MINK_L
4200007,4800.0,MINK,4782,56,True,,94.66071428571429,1.5842617220906503,0.01673621136334209,3.0,6.0,3132.7678571428573,329.9282925918161,0.10531526995834184,527.25,1202.0,NEAR_DELTA_MINK_L
4200008,4800.0,MINK,4858,63,True,,95.01587301587301,3.583436603127916,0.03771408386185411,6.0,14.0,3153.6825396825398,353.7068028658058,0.11215675592426975,606.0,1200.0,NEAR_DELTA_MINK_L
4200009,4800.0,MINK,4839,62,True,,95.16129032258064,3.0224618698045598,0.03176146371659029,3.0,13.0,3137.3064516129034,390.05064140647494,0.12432659908181687,604.5,1295.0,NEAR_DELTA_MINK_L
4200010,4800.0,MINK,4849,58,True,,96.12068965517241,2.5869539151014074,0.026913601269216436,3.75,10.0,3171.8793103448274,369.59115704389035,0.11652119166025603,614.0,1227.0,NEAR_DELTA_MINK_L
4200011,4800.0,MINK,4707,69,True,,93.08695652173913,1.9762292482371324,0.021229926534074753,3.0,8.0,3076.9565217391305,328.93664580010017,0.10690324789320763,563.0,1187.0,NEAR_DELTA_MINK_L
4200012,4800.0,MINK,4791,58,True,,92.44827586206897,3.499617781066283,0.03785487342443947,5.0,15.0,3168.5689655172414,359.5854947051927,0.11348514064818326,563.0,1267.0,NEAR_DELTA_MINK_L
4200013,4800.0,MINK,4851,65,True,,95.8923076923077,3.721550863336731,0.03880969133914448,7.0,13.0,3215.153846153846,351.7763813635121,0.10941199027982049,527.0,1277.0,NEAR_DELTA_MINK_L
4200014,4800.0,MINK,4799,62,True,,94.1774193548387,3.0348736145677604,0.0322250666386712,5.0,12.0,3128.6612903225805,347.2338592615788,0.11098480373558663,601.25,1149.0,NEAR_DELTA_MINK_L
4200015,4800.0,MINK,4757,61,True,,93.21311475409836,3.0894572397124747,0.0331440189276224,4.0,11.0,3159.1803278688526,382.9859608006334,0.12122953457962034,619.0,1290.0,NEAR_DELTA_MINK_L
4200016,4800.0,MINK,4896,75,True,,94.30666666666667,2.3034659874970056,0.02442527202916378,3.0,9.0,3210.76,358.9800306423743,0.11180531420672185,592.5,1393.0,NEAR_DELTA_MINK_L
4200017,4800.0,MINK,4760,63,True,,95.33333333333333,2.690370836538197,0.02822067311054053,4.5,11.0,3110.0,351.06016307071656,0.11288108137322075,553.0,1226.0,NEAR_DELTA_MINK_L
4200018,4800.0,MINK,4717,67,True,,92.35820895522389,2.93563536583034,0.031785321511091265,4.0,11.0,3064.089552238806,365.773469221548,0.11937427512661702,646.5,1235.0,NEAR_DELTA_MINK_L
4200019,4800.0,MINK,4799,68,True,,95.61764705882354,3.6663389808487903,0.03834374818482278,4.0,15.0,3116.970588235294,371.36857269026814,0.11914407344489009,632.75,1248.0,NEAR_DELTA_MINK_L
4200020,4800.0,MINK,4784,61,True,,91.21311475409836,1.8564442841825661,0.02035282195095912,2.0,8.0,3160.5245901639346,353.21806790378724,0.11175931647646697,568.0,1282.0,NEAR_DELTA_MINK_L
4200021,4800.0,MINK,4886,64,True,,92.3125,1.6092991486979666,0.017433166133491853,3.0,7.0,3224.421875,389.9610879901793,0.12093984692687873,674.5,1238.0,NEAR_DELTA_MINK_L
4200022,4800.0,MINK,4838,62,True,,92.19354838709677,1.614837549778558,0.01751573269528877,2.0,8.0,3204.3548387096776,321.0079436648597,0.1001786505623461,534.0,1209.0,NEAR_DELTA_MINK_L
4200023,4800.0,MINK,4723,67,True,,94.34328358208955,2.37871305231481,0.02521337992486826,3.0,13.0,3122.955223880597,389.56525454323815,0.12474250401168506,713.5,1168.0,NEAR_DELTA_MINK_L
4200000,9600.0,MINK,9655,93,True,,132.58064516129033,2.0284141835177403,0.015299474376897796,3.0,10.0,6264.612903225807,717.8041190895284,0.11458076184083345,1293.0,2373.0,NEAR_DELTA_MINK_L
4200001,9600.0,MINK,9573,83,True,,133.67469879518072,2.339335884210554,0.01750021436588337,3.5,10.0,6232.6024096385545,746.5059484548874,0.11977435738567821,1376.0,2456.0,NEAR_DELTA_MINK_L
4200002,9600.0,MINK,9682,89,True,,132.59550561797752,2.1500932884051434,0.016215431121774235,3.0,9.0,6471.595505617977,773.1003644178073,0.11946055091772666,1321.0,2672.0,NEAR_DELTA_MINK_L
4200003,9600.0,MINK,9668,97,True,,135.39175257731958,3.01390831317499,0.022260649233075008,5.0,12.0,6396.041237113402,741.5752656259243,0.11594285248239031,1364.0,2344.0,NEAR_DELTA_MINK_L
4200004,9600.0,MINK,9570,94,True,,137.0744680851064,1.7997598049085384,0.01312979601563078,2.75,6.0,6389.808510638298,692.94642690894,0.10844557012236966,1153.0,2367.0,NEAR_DELTA_MINK_L
4200005,9600.0,MINK,9472,85,True,,132.5529411764706,2.4229582422317177,0.018279173745424336,2.0,11.0,6236.588235294118,747.2804386435114,0.11982199408556425,1345.0,2373.0,NEAR_DELTA_MINK_L
4200006,9600.0,MINK,9661,78,True,,134.71794871794873,2.6645701818080174,0.019778880298917525,3.75,12.0,6323.846153846154,757.3749211606863,0.11976491880657975,1209.25,2487.0,NEAR_DELTA_MINK_L
