seed,intensity,K,start_id,depth_k,lineage_id,survivor_rank_at_depth,path_p,path_q,p_last,q_last,r_p_last,r_q_last,d_p_over_ell,d_q_over_ell,d_mid_over_ell,straddles_horizon,regscore,is_top1,is_minbeam_at_k
1000004,3600.0,8,28,4,9,4,"[731,398,382,3453]","[398,382,3453,2019]",3453,2019,0.3152940793172795,0.28108236350586746,4.130149944932475,4.895147166744691,4.512648555838583,0,-2.0,0,1
1000004,3600.0,8,28,4,14,5,"[731,398,382,3453]","[398,382,3453,1095]",3453,1095,0.3152940793172795,0.25544535976271543,4.130149944932475,5.468407997835736,4.799278971384105,0,-3.0,0,0
1000004,3600.0,8,28,5,9,0,"[731,398,382,3453,2019]","[398,382,3453,2019,1188]",2019,1188,0.28108236350586746,0.22626286291942105,4.895147166744691,6.120948464783528,5.508047815764111,0,-3.0,1,0
1000004,3600.0,8,28,5,15,1,"[731,398,382,3453,2019]","[398,382,3453,2019,1882]",2019,1882,0.28108236350586746,0.2382807107174475,4.895147166744691,5.852221218587196,5.3736841926659435,0,-3.0,0,1
1000004,3600.0,8,28,6,9,0,"[731,398,382,3453,2019,1188]","[398,382,3453,2019,1188,2794]",1188,2794,0.22626286291942105,0.18595412022176033,6.120948464783528,7.022279352378705,6.571613908581116,0,-4.0,1,0
1000004,3600.0,8,28,6,15,1,"[731,398,382,3453,2019,1882]","[398,382,3453,2019,1882,3303]",1882,3303,0.2382807107174475,0.22427744555815463,5.852221218587196,6.165343746618528,6.008782482602862,0,-4.0,0,1
1000004,3600.0,8,28,7,15,0,"[731,398,382,3453,2019,1882,3303]","[398,382,3453,2019,1882,3303,1786]",3303,1786,0.22427744555815463,0.14320000762416,6.165343746618528,7.97829037323785,7.071817059928189,0,-5.0,1,0
1000004,3600.0,8,28,7,16,1,"[731,398,382,3453,2019,1882,3303]","[398,382,3453,2019,1882,3303,3309]",3303,3309,0.22427744555815463,0.1243874472551019,6.165343746618528,8.398952011398174,7.282147879008351,0,-5.0,0,0
1000004,3600.0,8,28,7,17,2,"[731,398,382,3453,2019,1882,3303]","[398,382,3453,2019,1882,3303,3400]",3303,3400,0.22427744555815463,0.15206598314955871,6.165343746618528,7.78004113362144,6.972692440119984,0,-5.0,0,1
1000004,3600.0,8,28,7,9,3,"[731,398,382,3453,2019,1188,2794]","[398,382,3453,2019,1188,2794,1587]",2794,1587,0.18595412022176033,0.10255496892996432,7.022279352378705,8.887141067921158,7.954710210149931,0,-6.0,0,0
1000004,3600.0,8,28,8,15,0,"[731,398,382,3453,2019,1882,3303,1786]","[398,382,3453,2019,1882,3303,1786,762]",1786,762,0.14320000762416,0.11901235755558111,7.97829037323785,8.519142670931048,8.248716522084448,0,-6.0,1,0
1000004,3600.0,8,28,8,17,1,"[731,398,382,3453,2019,1882,3303,3400]","[398,382,3453,2019,1882,3303,3400,3382]",3400,3382,0.15206598314955871,0.11030574355924957,7.78004113362144,8.713828478427532,8.246934806024486,0,-6.0,0,1
1000004,3600.0,8,37,1,0,0,[878],[2894],878,2894,0.5126720443309372,0.5178349346349977,0.2833555253786633,0.3988012621812036,0.34107839377993343,0,0.0,1,1
