seed,intensity,K,start_id,depth_k,survivor_rank,p_last,q_last,r_p_last,r_q_last,d_mid_over_ell,straddles_horizon,regscore,path_p,path_q
1000000,3600.0,64,1,11,3,330,624,0.5831642503740945,0.572451007942179,1.739831479656883,0,-17.0,"[499,107,620,1137,683,2729,2163,418,316,64,330]","[107,620,1137,683,2729,2163,418,316,64,330,624]"
1000000,3600.0,64,1,11,4,330,1647,0.5831642503740945,0.5333964816322624,1.3031886013667469,0,-17.0,"[499,107,620,1137,683,2729,2163,418,316,64,330]","[107,620,1137,683,2729,2163,418,316,64,330,1647]"
1000000,3600.0,64,1,11,5,1805,1721,0.4845946066386419,0.4621909644946152,0.5949554016493209,0,-17.0,"[499,107,620,1137,683,2729,2163,418,316,64,1805]","[107,620,1137,683,2729,2163,418,316,64,1805,1721]"
1000000,3600.0,64,1,11,6,1421,1596,0.8422519196160632,0.8432990587441287,7.664692948274381,0,-17.0,"[499,107,620,1137,683,2729,1048,24,2340,1049,1421]","[107,620,1137,683,2729,1048,24,2340,1049,1421,1596]"
1000000,3600.0,64,1,11,7,1824,1493,1.1113864279899706,1.262960171955704,15.365662110621185,0,-18.0,"[499,107,620,1137,683,2939,796,1051,3080,3,1824]","[107,620,1137,683,2939,796,1051,3080,3,1824,1493]"
1000000,3600.0,64,1,11,8,3036,1493,1.0343588826347694,1.262960171955704,14.504467972850295,0,-18.0,"[499,107,620,1137,683,2939,796,1051,3080,3,3036]","[107,620,1137,683,2939,796,1051,3080,3,1824,1493]"
1000000,3600.0,64,1,12,0,2965,1865,0.32884043450823347,0.30612233211968065,4.081240340692195,0,-16.0,"[499,107,2766,1191,112,3566,1913,216,1687,3246,631,2965]","[107,2766,1191,112,3566,1913,216,1687,3246,631,2965,1865]"
1000000,3600.0,64,1,12,1,263,2003,0.29234214904689104,0.28568593220941063,4.717789474534635,0,-16.0,"[499,107,2766,1191,112,3566,1913,216,1687,3246,2037,263]","[107,2766,1191,112,3566,1913,216,1687,3246,2037,263,2003]"
1000000,3600.0,64,1,12,2,2965,965,0.32884043450823347,0.29959693223660466,4.154196529286829,0,-17.0,"[499,107,2766,1191,112,3566,1913,216,1687,3246,631,2965]","[107,2766,1191,112,3566,1913,216,1687,3246,631,2965,965]"
1000000,3600.0,64,1,12,3,1721,981,0.4621909644946152,0.22155528106910932,3.535824465295188,0,-18.0,"[499,107,620,1137,683,2729,2163,418,316,64,1805,1721]","[107,620,1137,683,2729,2163,418,316,64,1805,1721,981]"
1000000,3600.0,64,1,12,4,1596,136,0.8432990587441287,0.8647595630892702,7.9163360523714825,0,-18.0,"[499,107,620,1137,683,2729,1048,24,2340,1049,1421,1596]","[107,620,1137,683,2729,1048,24,2340,1049,1421,1596,136]"
1000000,3600.0,64,1,12,5,1596,373,0.8432990587441287,0.873480954930007,8.01384417744298,0,-18.0,"[499,107,620,1137,683,2729,1048,24,2340,1049,1421,1596]","[107,620,1137,683,2729,1048,24,2340,1049,1421,1596,373]"
1000000,3600.0,64,1,12,6,1596,1357,0.8432990587441287,0.807923274764869,7.28088703096079,0,-18.0,"[499,107,620,1137,683,2729,1048,24,2340,1049,1421,1596]","[107,620,1137,683,2729,1048,24,2340,1049,1421,1596,1357]"
1000000,3600.0,64,1,12,7,1596,1473,0.8432990587441287,0.8174886301452711,7.387830955258402,0,-18.0,"[499,107,620,1137,683,2729,1048,24,2340,1049,1421,1596]","[107,620,1137,683,2729,1048,24,2340,1049,1421,1596,1473]"
1000000,3600.0,64,1,12,8,1596,2463,0.8432990587441287,0.7981324800909775,7.171422618737968,0,-18.0,"[499,107,620,1137,683,2729,1048,24,2340,1049,1421,1596]","[107,620,1137,683,2729,1048,24,2340,1049,1421,1596,2463]"
1000000,3600.0,64,1,12,9,2396,654,0.31511237620827287,0.28531967434096234,4.467305483010549,0,-19.0,"[499,107,2766,1191,112,3566,1913,216,1687,3246,631,2396]","[107,2766,1191,112,3566,1913,216,1687,3246,631,2396,654]"
